prediction.dat										
11										
X									
Y									
Landuse										
Rock										
Cd										
Co										
Cr										
Cu										
Ni										
Pb										
Zn										
2386.0	3077.0	3	3	1.740	9.32	38.32	25.72	21.32	77.36	92.56
2544.0	1972.0	2	2	1.335	10.00	40.20	24.76	29.72	77.88	73.56
2807.0	3347.0	2	3	1.610	10.60	47.00	8.88	21.40	30.80	64.80
4308.0	1933.0	3	2	2.150	11.92	43.52	22.70	29.72	56.40	90.00
4383.0	1081.0	3	5	1.565	16.32	38.52	34.32	26.20	66.40	88.40
3244.0	4519.0	3	5	1.145	3.51	40.40	31.28	22.04	72.40	75.20
3925.0	3785.0	3	5	0.894	15.08	30.52	27.44	21.76	60.00	72.40
2116.0	3498.0	3	1	0.525	4.20	25.40	66.12	9.72	141.00	72.08
1842.0	989.0	3	1	0.240	4.52	27.96	22.32	11.32	52.40	56.40
1709.0	1843.0	3	3	0.625	12.08	33.32	18.72	16.88	41.60	75.60
3800.0	4578.0	3	1	3.873	9.84	46.00	22.24	21.64	46.00	143.20
2699.0	1199.0	1	1	1.425	7.56	40.80	8.76	15.72	56.40	66.80
3033.0	4384.0	3	5	0.455	2.37	19.24	21.36	7.08	38.36	37.88
4232.0	1588.0	1	2	1.025	8.84	28.32	5.88	17.40	52.80	47.60
4750.0	1369.0	3	2	0.775	11.96	35.60	17.60	23.76	32.92	70.80
2341.0	4135.0	3	1	0.620	5.32	31.00	18.52	10.80	42.00	46.80
2827.0	3667.0	3	5	0.400	4.68	20.52	3.96	6.68	21.48	25.20
3043.0	4692.0	3	1	0.625	3.54	25.20	8.24	11.32	29.92	31.32
1687.0	1174.0	3	1	0.355	3.64	18.40	21.56	6.64	46.80	39.56
2235.0	2386.0	3	5	1.585	12.44	40.56	40.88	25.08	88.68	114.28
3122.0	1695.0	3	2	1.885	12.92	44.00	35.92	34.72	72.88	120.28
2219.0	2774.0	2	2	1.300	13.04	32.48	8.80	31.52	56.52	71.76
3185.0	2092.0	3	2	1.575	11.20	35.72	22.12	35.00	43.68	90.68
3514.0	5119.0	2	1	4.191	9.28	52.00	15.48	21.76	33.36	145.60
4459.0	2624.0	1	2	1.485	6.84	19.00	11.16	15.84	34.64	82.80
4339.0	1473.0	3	5	0.915	10.80	32.72	39.80	18.60	64.80	86.00
4920.0	1417.0	3	2	0.705	8.56	30.28	15.76	21.96	39.52	66.40
3648.0	3780.0	3	2	0.620	14.16	28.56	48.80	24.44	63.20	78.00
2916.0	4916.0	1	1	0.885	6.28	27.92	4.52	13.88	37.16	46.80
